cluster_label,rank_position,feature_name,feature_zscore
0,1,volume,1.7400854753764936
0,2,nsites,1.7361026390709628
0,3,nelements,0.9182689628974147
1,1,density_atomic,1.5385335816529928
1,2,is_metal_flag,-0.7478839329975816
1,3,density,-0.6442419986388259
2,1,formation_energy_per_atom,-1.5431715965624988
2,2,band_gap,1.339933034146838
2,3,density_atomic,-1.1720827093957429
3,1,energy_per_atom,-1.7859663351034714
3,2,density,1.518446346559713
3,3,nelements,-1.2646107317909228
4,1,is_metal_flag,1.1207456914715737
4,2,band_gap,-0.9827993085692135
4,3,formation_energy_per_atom,0.7774972328907186
