cluster_label,source_row_index,source_material_id,source_formula_pretty_x,neighbor_row_index,neighbor_material_id,neighbor_formula_pretty,similarity_distance,similarity_rank_within_source,similarity_distance_percentile,similarity_level,source_formula_pretty_y,source_cost,source_unit,source_year,source_cost_class,source_cost_rank_within_cluster,neighbor_formula_pretty_verified,neighbor_cost,neighbor_unit,neighbor_year,neighbor_cost_class,neighbor_cost_rank_within_cluster,cost_difference,cost_saving,is_lower_cost_alternative
2,21631,mp-504969,Ni3(AsO4)2,102,mp-27966,Ag2Mo2O7,0.4580851958248573,2,0.4,moderate_similarity,Ni3(AsO4)2,15162.1583333333,($/mt),2025.0,high_cost,9,Ag2Mo2O7,39.80466666667,($/troy oz),2025.0,low_cost,1,-15122.35366666663,15122.35366666663,True
4,23258,mp-505319,PtF6,91,mp-542298,Ag2F5,0.2159031336318639,1,0.2,high_similarity,PtF6,1278.29333333333,($/troy oz),2025.0,low_cost,3,Ag2F5,39.80466666667,($/troy oz),2025.0,low_cost,1,-1238.48866666666,1238.48866666666,True
2,21727,mp-505449,NiPH16NO10,21982,mp-24157,PH8N2O3F,0.3232952820035337,1,0.2,high_similarity,NiPH16NO10,15162.1583333333,($/mt),2025.0,high_cost,9,PH8N2O3F,152.5,($/mt),2025.0,low_cost,2,-15009.6583333333,15009.6583333333,True
1,33095,mp-5350,Zn(GaS2)2,400,mp-5782,AlAgS2,0.3167755452802188,1,0.2,high_similarity,Zn(GaS2)2,2867.52833333333,($/mt),2025.0,medium_cost,6,AlAgS2,2631.69583333333,($/mt),2025.0,medium_cost,5,-235.83249999999998,235.83249999999998,True
1,675,mp-541656,AuCl2,23255,mp-23290,PtCl2,0.6704037030131579,3,0.6,moderate_similarity,AuCl2,3441.50583333333,($/troy oz),2025.0,high_cost,7,PtCl2,1278.29333333333,($/troy oz),2025.0,low_cost,3,-2163.2124999999996,2163.2124999999996,True
4,7511,mp-555599,CuS,380,mp-568607,Al5Mo,0.2862273530153329,1,0.2,high_similarity,CuS,9947.305,($/mt),2025.0,medium_cost,8,Al5Mo,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True
4,7511,mp-555599,CuS,259,mp-1648,Al12Re,0.2900704780421494,2,0.4,moderate_similarity,CuS,9947.305,($/mt),2025.0,medium_cost,8,Al12Re,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True
4,7511,mp-555599,CuS,387,mp-16529,Al6Ru,0.3119622092187331,3,0.6,moderate_similarity,CuS,9947.305,($/mt),2025.0,medium_cost,8,Al6Ru,2631.69583333333,($/mt),2025.0,low_cost,5,-7315.609166666671,7315.609166666671,True
2,7464,mp-556303,CuBi2(SeO3)4,143,mp-553924,Ag4PIO4,0.4351468156037671,3,0.6,moderate_similarity,CuBi2(SeO3)4,9947.305,($/mt),2025.0,high_cost,8,Ag4PIO4,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
4,7356,mp-556582,Cu(IO3)2,112,mp-11641,Ag2SeO4,0.2383782082737036,1,0.2,high_similarity,Cu(IO3)2,9947.305,($/mt),2025.0,medium_cost,8,Ag2SeO4,39.80466666667,($/troy oz),2025.0,low_cost,1,-9907.50033333333,9907.50033333333,True
1,26730,mp-557101,Sn(S4I)4,21949,mp-28089,P4Se3I2,0.5921474855524974,2,0.4,moderate_similarity,Sn(S4I)4,34058.8358333333,($/mt),2025.0,high_cost,10,P4Se3I2,152.5,($/mt),2025.0,low_cost,2,-33906.3358333333,33906.3358333333,True
1,26730,mp-557101,Sn(S4I)4,21994,mp-573373,PICl8,0.5923277911042869,3,0.6,moderate_similarity,Sn(S4I)4,34058.8358333333,($/mt),2025.0,high_cost,10,PICl8,152.5,($/mt),2025.0,low_cost,2,-33906.3358333333,33906.3358333333,True
2,22102,mp-557531,Pb2S(O2F)2,21989,mp-1220034,PHPbO4,0.5433621155041178,3,0.6,moderate_similarity,Pb2S(O2F)2,1962.235,($/mt),2025.0,low_cost,4,PHPbO4,152.5,($/mt),2025.0,low_cost,2,-1809.735,1809.735,True
