Model,MAE_Log,RMSE_Log,R2_Log,MAE_Euro,RMSE_Euro,R2_Euro,Rank_RMSE_Euro,Rank_MAE_Euro,Rank_R2_Euro,Average_Rank
Random Forest,0.5002359027183202,1.3699022041611857,0.8205473128756001,1071878.1675833608,13473168.126481947,0.8186113640178689,1.0,1.0,1.0,1.0
Random Forest (Tuned),0.5451816650201523,1.4270851769016597,0.8052530668163288,1269088.866754701,16093463.55842782,0.7411967901451947,2.0,2.0,2.0,2.0
Ridge Regression (Tuned),1.0104918052175196,1.7513562323701237,0.7066947603808613,3539854.741580556,22099892.68650165,0.5119650256693279,3.0,3.0,3.0,3.0
Ridge Regression,1.0104918052175196,1.7513562323701237,0.7066947603808613,3539854.741580556,22099892.68650165,0.5119650256693279,3.0,3.0,3.0,3.0
Gradient Boosting,1.5763138244172334,2.2741709330074475,0.5054422115439928,5447823.59015045,30468445.736681767,0.07237762104675993,5.0,5.0,5.0,5.0
Linear Regression,1.2033688141453318,2.272237495919428,0.5062827727266841,1435609297.702894,149026639330.06403,-22192100.614644106,6.0,6.0,6.0,6.0
